date,data,source,score
2022-03-10 10:30:01,"Decarbonising transport is one of the biggest challenges on the road to #NetZero, but green innovations are already underway!

Find out how the energy networks are supporting infrastructure for more EV's and exploring #hydrogen for aviation and shipping 👇",energynetworks,0.992949366569519
2022-03-10 10:30:00,"While there is a lot of progress being made with introducing hydrogen to the grid, addressing the fossil fuel use of sectors that rely on distributed power must also be a part of the green hydrogen discussion.

See IPG CEO Toby Gill’s article at @GreenBizJournal below. https://t.co/IejHlSYI8f",IPG_Energy,-0.7331898212432861
2022-03-10 10:28:45,"RT @BORN4WIN: Which of the following gases is not known as green house gas?

A) Methane
B) Nitrous oxide
C) Carbon dioxide
D) Hydrogen

Rep…",Studykgf,-0.9979660511016846
2022-03-10 10:27:56,RT @h2_view: .@Smoltek is supporting the growing electrolyser and #hydrogen industries by developing an innovative nanofiber-based cell mat…,ggagliardi59,0.9973111152648926
2022-03-10 10:27:03,RT @h2_view: #Egypt could secure a large-scale #hydrogen and #ammonia production plant with a memorandum of understanding (MoU) unveiled to…,ggagliardi59,0.56120765209198
2022-03-10 10:26:09,"RT @h2_view: #H2View repost: @EDF_Renewables has unveiled a new green hydrogen project that will support the Teesside, UK, in becoming a ho…",SolarHomeIRL,0.9595073461532593
2022-03-10 10:19:12,@CzMonsterland Isn’t solar panels green energy. And as for effectiveness the are experiments in Norway where they use solar which generates hydrogen hence removes issue of overnight when solar panels don’t work. And remember Norway has lot shorter days,rwl140172,-0.9607412219047546
2022-03-10 10:09:49,"@Ross_Report Why are government always making the wrong choice?
Hydrogen vehicles are the future. EV's will be a pollution disaster because of the battery's. Take a look at the vehicle dump outside Paris. Our excess wind generation can be used to produce green hydrogen.",whitestrat69,-0.9996609687805176
2022-03-10 10:08:57,"#Protium have partnered with @siemensindustry to develop new digital twin technology for #hydrogen refuelling of #aircraft. This innovative technology will allow the stimulation and optimisation of a real-life system, based upon the digital twin model!
https://t.co/lmM5raVZFK https://t.co/qgj8WV9yIO",HydrogenEnergy,0.9974715709686279
2022-03-10 10:08:41,"@KWitecka @anunezjimenez @AdamBlazowski @n_deblasio Several projects have cooperations with big national hydrogen projects: Salzgitter with Green Wilhelmshaven, ArcelorMittal spain with HyDeal España, etc. I'm guessing H2 storage will be explored within these hydrogen hubs (Salzgitter mentions cavern storage).",SomersJulian,0.9598349332809448
2022-03-10 10:07:28,"@CarolineLucas Was only just reading of the Danish plan to build more offshore wind farms, to use for electricity and creating green hydrogen.",KT8_online,-0.9941512942314148
2022-03-10 10:07:15,"@orgogg @DukeSilver2k @iMac24666401 @KwasiKwarteng The list grows because there is a lot of investment in the area.
Pumped hydro, pumped heat, molten salts, chilled air, Li-on batteries, EV batteries, flow batteries, gravity based systems, green hydrogen, mechanical...

And smarter use such as packetized energy.",Havant_Enviro,0.9953582882881165
2022-03-10 10:07:12,"RT @IRENA: 💡#GreenHydrogen is versatile &amp; can be used in many industries. However, it requires dedicated #renewables  supplies. Centralised…",nishant_arora,0.9716129302978516
2022-03-10 10:06:41,"RT @nickhedley: ... And the EU has no plans to invest in any new coal infrastructure. Once this huge pipeline of solar, wind, green hydroge…",roseramsay,-0.9985266923904419
2022-03-10 10:05:53,"Which of the following gases is not known as green house gas?

A) Methane
B) Nitrous oxide
C) Carbon dioxide
D) Hydrogen

Reply Answer ✍

McQs

Plz Like ❤️ &amp; Retweet 🔄 it

      #ElectionResults
#AppleEvent | #AajTak
    #ThursdayThoughts",BORN4WIN,-0.9980383515357971
2022-03-10 10:05:26,"RT @TerrestrialMSR: Generation 4 Fission Technology Changes Equation on #GreenHydrogen
#CERAWeek #Gen4Fission
https://t.co/7RXJjdu5aW https…",vijayganesh212,-0.99032062292099
2022-03-10 10:04:51,"RT @h2_view: .@edfenergy has unveiled a new green hydrogen project that will support the Teeside, #UK, in becoming a hotspot for #hydrogen…",ApiaryWorkforce,0.997723400592804
2022-03-10 10:04:22,@KwasiKwarteng You are not using wind energy at full capacity so why not convert it to green hydrogen? You then have 24/7 power supply.,whitestrat69,-0.9918197393417358
2022-03-10 10:03:54,RT @Protium18: #Protium have partnered with @siemensindustry to develop new digital twin technology for #hydrogen refuelling of #aircraft.…,SESuter1,0.5298059582710266
2022-03-10 10:03:53,"@pmakgopela @siplikhuleni @KhandaniM @Sentletse @VusiThembekwayo Not really - the new baseload is batteries and green hydrogen, which is what Germany and other EU markets are pursuing",nickhedley,-0.9852612614631653
2022-03-10 10:03:43,RT @JenkinsDenis: The Netherlands puts its money where its mouth is on green hydrogen  https://t.co/aig0SWu2X0 https://t.co/aBFts9oGND,SESuter1,-0.9981781244277954
2022-03-10 10:02:12,".@Smoltek is supporting the growing electrolyser and #hydrogen industries by developing an innovative nanofiber-based cell material to optimise green hydrogen production.

#HydrogenNow #H2View

https://t.co/rlL4GqkLGE",h2_view,0.9895211458206177
2022-03-10 10:02:06,".@Smoltek is supporting the growing electrolyser and #hydrogen industries by developing an innovative nanofiber-based cell material to optimise green hydrogen production.

#HydrogenNow #H2View

https://t.co/52ujgPevLH",GHeynes98,0.9898550510406494
2022-03-10 10:00:40,"Fri 11 Mar 10:00-11:30 GMT. ITEG webinar on Clean Energy Pathways &amp; Next Generation Hydrogen Valley. New Energy Coalition, the Green Hysland project, TECO2030 and Hydrogen Ireland. https://t.co/sb5Vdx003v 
Register here: https://t.co/4io423YWRS https://t.co/BoJZnAgDIZ",SHFCA,-0.9538125991821289
2022-03-10 09:58:07,https://t.co/wmWRvinRTw Air Products to Build Green Liquid Hydrogen Production Facility in Arizona,prpnews,-0.9811018109321594
2022-03-10 09:57:19,"@RoyceSouther @CKernkraft @GeraldKutney Many industries need to be decarbonised.
If you can use very low carbon steel in wind turbine manufacture you further reduce it's carbon intensity.
Green hydrogen is one of the easiest routes to that.",Havant_Enviro,-0.9855761528015137
2022-03-10 09:56:06,Egypt could secure a large-scale #hydrogen and ammonia production plant with a memorandum of understanding (MoU) unveiled today. https://t.co/ANQyoTNwGz,JoSamps92,0.979103147983551
2022-03-10 09:52:59,"We want to be a contributor towards the UK reducing our dependence on all fossil fuels 🙌✊🏴󠁧󠁢󠁷󠁬󠁳󠁿 not just Russian gas!

It's a huge challenge; we're up for it

https://t.co/B0Y6i9cAWt

via @rechargenews https://t.co/8cqXc1RGvj",HiraethEnergy,0.9510626196861267
2022-03-10 09:49:39,"#Protium have partnered with @siemensindustry to develop new digital twin technology for #hydrogen refuelling of #aircraft. This innovative technology will allow the stimulation and optimisation of a real-life system, based upon the digital twin model!

https://t.co/5f3nQTTOpX",Protium18,0.9978621602058411
2022-03-10 09:49:29,"@KhandaniM That's nonsensical - Germany is literally doubling down on its solar, wind, green hydrogen and battery investments. It regrets not doing this earlier, and being reliant on Russian fossil fuels.",nickhedley,-0.9992203712463379
2022-03-10 09:45:27,"... And the EU has no plans to invest in any new coal infrastructure. Once this huge pipeline of solar, wind, green hydrogen and batteries starts coming online, it'll be able to ditch coal completely, and in the 2030s, gas as well.",nickhedley,-0.9989686012268066
2022-03-10 09:45:02,"EDF Renewables UK and Hynamics are the latest business' to investment to Tees Valley, announcing plans for a green hydrogen production centre in the vicinity of the former Redcar steelworks.

https://t.co/GYZrYYTgUm",BdailyNorthEast,0.9851189255714417
2022-03-10 09:45:02,"EDF Renewables UK and Hynamics are the latest business' to investment to Tees Valley, announcing plans for a green hydrogen production centre in the vicinity of the former Redcar steelworks.

https://t.co/pEdUJWJTx8",Bdaily,0.9837931990623474
2022-03-10 09:43:17,"IMEKO TC20, PTB-Germany, in partnership with the GU-School of Chemical Sciences, and TERI is organising an Indo-German Int'l Conference &amp; Workshop on Metrology for Deployment of Green Hydrogen and Renewable Energy in India from April 4-6, 2022 in the virtual mode.  Details below https://t.co/FYv1Epc6VL",GoaUniversity,0.7833752632141113
2022-03-10 09:40:12,"#REPowerEU entails investment frontloading, especially in power generation and green hydrogen production, and includes gas infrastr. https://t.co/ZvKwVSMKWb
So public spending needs REPowerEU+FF55 likely higher than FF55, not only re investment but also social support. (cont.)",italiadati,-0.9740871787071228
2022-03-10 09:36:31,"RT @h2epower: We are proud to be associated with commissioning the First on ground Green Hydrogen plant in Jorhat, Assam.

#HydrogenNOW #th…",hussaincrypto67,0.9979844093322754
2022-03-10 09:34:18,RT @NatasaPilidou: Fruitful discussion with #Sicily's Regional Minister of #Energy #DanielaBaglieri on potential cooperation on pilot #Gree…,wellbeing4you,0.9989293217658997
2022-03-10 09:32:30,@mac_puck @GeorgeMonbiot Green hydrogen is very inefficient to produce but easy to use.  Heat pumps don't seem to be that realistic for all buildings yet.  I have seen some new ones that work with 80C water temp so that helps.  With very high electricity prices its going to be very hard. Will read doc.,daviddouglasuk,-0.9906803965568542
2022-03-10 09:31:51,"RT @nickhedley: Interesting. 

Bloomberg says that after the rally in gas prices, green hydrogen (hydrogen made using solar or wind power)…",PAULKLAVAS1,0.9936281442642212
2022-03-10 09:31:19,"RT @SparctechS: 🗞️ Via @StockheadAU  🌏 Sparc’s Fortescue JV could deliver historic step change in global green hydrogen

$SPN.ax $SPN 
#gre…",Cranbo_uk,0.7295427322387695
2022-03-10 09:30:29,"#Egypt could secure a large-scale #hydrogen and #ammonia production plant with a memorandum of understanding (MoU) unveiled today (March 10).

#HydrogenNow #H2View

https://t.co/09fHJsNuQK",h2_view,-0.9459233283996582
2022-03-10 09:30:24,RT @lorenzvallecchi: High fossil gas prices could speed up biomethane adoption &amp; green hydrogen development in Europe. An interview with @S…,Sustainable2050,0.6971718072891235
2022-03-10 09:30:23,"#Egypt could secure a large-scale #hydrogen and #ammonia production plant with a memorandum of understanding (MoU) unveiled today (March 10).

#HydrogenNow #H2View

https://t.co/Y85WvNKZ5f",GHeynes98,-0.9457452297210693
2022-03-10 09:29:57,"RT @h2_view: In an effort to boost the green #hydrogen market, we saw @Enapter_ in a top #H2View story this week has launched its first sta…",H2Awards,0.986382007598877
2022-03-10 09:28:48,"@daviddouglasuk @GeorgeMonbiot The problem is it is complicated  - you have to be prepared to read 170 pages  https://t.co/y4dsoIV469  - but it is clear, reasonable and well explained.

The only issues I have are: I don't think green hydrogen will ever be right for heating buildings and Putin's war means...",mac_puck,0.994466245174408
2022-03-10 09:27:13,RT @FortescueFuture: We’re partnering with @Airbus to help decarbonise the global aviation industry using zero-emissions #GreenHydrogen.…,serhatplbyk,0.8319209218025208
2022-03-10 09:25:30,RT @ipprnamibia: Namibia's green hydrogen plans are exciting and a potential ‘game-changer’ for the country. This new IPPR publication shed…,media_nust,0.8971041440963745
2022-03-10 09:25:28,"#Germany plans to spend €200 billion ($216bn) on fostering #renewableenergy to ease the reliance on #Russian #gas which has left it vulnerable to the fallout from the war in #Ukraine. 

https://t.co/jtesCGXShx via @TheNationalNews 

#News #GreenEnergy #hydrogen #Energy #Europe",epjordangermany,-0.9695438742637634
2022-03-10 09:23:06,"Interesting. 

Bloomberg says that after the rally in gas prices, green hydrogen (hydrogen made using solar or wind power) is already cheaper than hydrogen made using gas.

The EU plans to ramp up its green hydrogen use to replace gas as a feedstock in heavy industry (steel etc).",nickhedley,0.9141091704368591
2022-03-10 09:22:38,"Great to have you part of the climate-neutral aviation journey, @FortescueFuture! 🤝 Our #ZEROe ambition can only be achieved via cross-industry partnerships to develop a strong green hydrogen supply chain. https://t.co/0f3MvOjYJL",Airbus,-0.7958406805992126
